k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	dunn	dunn2	entropy	wb.ratio
k4	1	31, 64, 39, 18	0.07	0	0.49, 0.67, 0.86, 0.64	0.22, 0.28, 0.28, 0.28	0.22, 0.27, 0.24, 0.26	0.37	0.27	6.6	0.04	1.04	1.29	0.73
k5	1	28, 45, 28, 33, 18	0.07	0	0.49, 0.67, 0.5, 0.86, 0.64	0.22, 0.25, 0.23, 0.3, 0.28	0.22, 0.24, 0.23, 0.25, 0.26	0.36	0.25	5.97	0.04	0.9	1.57	0.7
k6	1	25, 28, 27, 23, 31, 18	0.06	0	0.49, 0.67, 0.5, 0.77, 0.86, 0.64	0.21, 0.23, 0.23, 0.26, 0.27, 0.28	0.22, 0.21, 0.22, 0.22, 0.24, 0.26	0.36	0.24	5.67	0.04	0.95	1.78	0.68
k7	1	26, 21, 25, 18, 25, 18, 19	0.05	0	0.49, 0.61, 0.47, 0.42, 0.75, 0.64, 0.76	0.21, 0.24, 0.21, 0.2, 0.25, 0.28, 0.28	0.22, 0.22, 0.21, 0.2, 0.21, 0.26, 0.24	0.36	0.24	5.23	0.05	0.94	1.93	0.66
k8	1	26, 21, 25, 18, 30, 17, 8, 7	0.06	0	0.49, 0.61, 0.47, 0.42, 0.75, 0.64, 0.64, 0.31	0.21, 0.24, 0.21, 0.2, 0.25, 0.25, 0.26, 0.16	0.22, 0.22, 0.21, 0.2, 0.21, 0.24, 0.23, 0.17	0.36	0.23	4.69	0.05	0.86	1.99	0.63
k9	1	18, 19, 25, 18, 16, 16, 8, 17, 15	0.05	0	0.39, 0.61, 0.47, 0.42, 0.75, 0.64, 0.64, 0.34, 0.38	0.16, 0.25, 0.21, 0.2, 0.28, 0.26, 0.26, 0.19, 0.14	0.15, 0.23, 0.21, 0.2, 0.22, 0.24, 0.23, 0.19, 0.12	0.36	0.21	4.21	0.05	0.8	2.16	0.6
k10	1	18, 18, 26, 17, 14, 16, 10, 6, 12, 15	0.05	0	0.39, 0.61, 0.47, 0.37, 0.75, 0.64, 0.64, 0.28, 0.29, 0.38	0.16, 0.26, 0.21, 0.19, 0.26, 0.26, 0.27, 0.15, 0.16, 0.14	0.15, 0.24, 0.21, 0.19, 0.2, 0.24, 0.28, 0.12, 0.16, 0.12	0.35	0.21	4.06	0.05	0.65	2.24	0.59
k11	1	18, 18, 19, 17, 14, 16, 7, 10, 13, 12, 8	0.05	0	0.39, 0.61, 0.47, 0.37, 0.75, 0.64, 0.32, 0.64, 0.34, 0.29, 0.38	0.16, 0.26, 0.22, 0.19, 0.26, 0.26, 0.16, 0.27, 0.14, 0.16, 0.19	0.15, 0.24, 0.21, 0.19, 0.2, 0.24, 0.14, 0.28, 0.13, 0.16, 0.18	0.35	0.21	4.06	0.05	0.58	2.35	0.59
k12	1	18, 18, 11, 17, 14, 15, 10, 6, 10, 13, 12, 8	0.05	0	0.39, 0.61, 0.39, 0.37, 0.75, 0.64, 0.47, 0.26, 0.64, 0.34, 0.29, 0.38	0.16, 0.26, 0.2, 0.19, 0.26, 0.25, 0.26, 0.13, 0.26, 0.14, 0.16, 0.19	0.15, 0.24, 0.2, 0.19, 0.2, 0.24, 0.25, 0.13, 0.24, 0.13, 0.16, 0.18	0.35	0.21	4.01	0.05	0.61	2.44	0.59
k13	1	17, 17, 12, 15, 12, 15, 3, 9, 6, 11, 16, 11, 8	0.05	0	0.34, 0.61, 0.39, 0.37, 0.75, 0.64, 0.26, 0.36, 0.26, 0.64, 0.39, 0.29, 0.38	0.15, 0.26, 0.21, 0.18, 0.26, 0.25, 0.21, 0.24, 0.13, 0.27, 0.15, 0.16, 0.19	0.14, 0.25, 0.21, 0.17, 0.19, 0.24, 0.23, 0.25, 0.13, 0.27, 0.14, 0.16, 0.18	0.35	0.21	3.94	0.05	0.61	2.49	0.59
k14	1	17, 20, 11, 14, 12, 15, 3, 11, 6, 1, 9, 15, 10, 8	0.05	0	0.34, 0.61, 0.39, 0.37, 0.72, 0.64, 0.26, 0.47, 0.26, NA, 0.64, 0.34, 0.29, 0.38	0.15, 0.26, 0.2, 0.18, 0.24, 0.25, 0.21, 0.26, 0.13, NaN, 0.25, 0.14, 0.15, 0.19	0.14, 0.25, 0.2, 0.16, 0.17, 0.24, 0.23, 0.27, 0.13, NA, 0.17, 0.13, 0.15, 0.18	0.35	0.21	3.91	0.06	0.61	2.51	0.59
k15	1	17, 20, 4, 16, 10, 15, 3, 12, 7, 6, 9, 8, 10, 8, 7	0.05	0	0.34, 0.61, 0.24, 0.77, 0.27, 0.64, 0.26, 0.52, 0.29, 0.26, 0.64, 0.28, 0.29, 0.38, 0.14	0.15, 0.26, 0.19, 0.25, 0.14, 0.25, 0.21, 0.28, 0.18, 0.13, 0.25, 0.14, 0.15, 0.19, 0.09	0.14, 0.25, 0.22, 0.18, 0.11, 0.24, 0.23, 0.28, 0.18, 0.13, 0.17, 0.14, 0.15, 0.18, 0.09	0.35	0.2	3.91	0.05	0.51	2.6	0.58
k16	1	8, 11, 11, 16, 10, 15, 3, 12, 6, 9, 9, 7, 9, 10, 8, 8	0.05	0	0.26, 0.61, 0.39, 0.77, 0.27, 0.64, 0.26, 0.52, 0.26, 0.28, 0.64, 0.28, 0.34, 0.29, 0.38, 0.14	0.13, 0.3, 0.2, 0.25, 0.14, 0.25, 0.21, 0.28, 0.13, 0.15, 0.25, 0.15, 0.17, 0.15, 0.19, 0.08	0.11, 0.3, 0.2, 0.18, 0.11, 0.24, 0.23, 0.28, 0.13, 0.15, 0.17, 0.12, 0.15, 0.15, 0.18, 0.07	0.35	0.2	3.8	0.05	0.46	2.72	0.57
