ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	30	0.5799235878029616	3.7635009168285602	4.452543951750697e-10	1.1799241472139347e-7	1.124853208863334e-7	634	tags=93%, list=32%, signal=64%	H2AC20/H4C1/H4C2/H2AC4/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2AC7/H2BC7/H4C5/H2BC8/H2AC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2AC14/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	31	0.529873681618252	3.1941042980196563	9.34902211319139e-9	1.2387454299978593e-6	1.180929109034702e-6	634	tags=90%, list=32%, signal=62%	H2AC20/H4C1/H4C2/H2AC4/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2AC7/H2BC7/H4C5/H2BC8/H2AC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2AC14/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	33	0.4442438590232935	3.1936062419310622	5.643273038964488e-7	4.984891184418631e-5	4.7522299275490434e-5	634	tags=85%, list=32%, signal=58%	H2AC20/H4C1/H4C2/H2AC4/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2AC7/H2BC7/H4C5/H2BC8/H2AC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2AC14/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	34	0.4130743617383587	3.189902658016856	2.090672653954879e-6	1.3850706332451074e-4	1.3204248340767657e-4	634	tags=85%, list=32%, signal=59%	H2AC20/H3-3A/H4C1/H4C2/H2AC4/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2AC7/H2BC7/H4C5/H2BC8/H2AC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2AC14/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	27	0.471805146385123	2.7052084348303054	3.5547465863617214e-6	1.8840156907717122e-4	1.7960824857406592e-4	634	tags=85%, list=32%, signal=58%	H4C1/H4C2/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2BC7/H4C5/H2BC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_HDMS_DEMETHYLATE_HISTONES	REACTOME_HDMS_DEMETHYLATE_HISTONES	25	0.4752572430445441	2.8440663976716545	4.606439611022232e-6	2.0345108282014858e-4	1.939553520430414e-4	632	tags=88%, list=32%, signal=60%	H3C13/H3C14/H3C15/KDM5B/H3C1/H4C1/H4C2/H4C3/H4C4/H3C4/H4C5/H3C6/H4C6/H3C7/H3C8/H4C9/H3C10/H4C11/H4C12/H3C11/H4C13/H3C12
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	28	0.4152524570043768	2.469319642210865	4.866436538148745e-5	0.0018422938322991676	0.0017563079235424041	634	tags=82%, list=32%, signal=56%	H4C1/H4C2/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2BC7/H4C5/H2BC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	28	0.3980541402321402	2.367048985644465	1.2128314643207396e-4	0.00401750422556245	0.003829994097854967	634	tags=82%, list=32%, signal=56%	H4C1/H4C2/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2BC7/H4C5/H2BC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	28	0.37444946937385987	2.2266826219659483	3.5085950671235125e-4	0.010330863253197008	0.009848687907715122	634	tags=82%, list=32%, signal=56%	H4C1/H4C2/H2BC3/H4C3/H2BC4/H2BC5/H2BC6/H4C4/H2BC7/H4C5/H2BC8/H4C6/H2BC9/H2BC10/H2BC11/H4C9/H2BC13/H2BC14/H4C11/H4C12/H2BC15/H4C13/H2BC17
REACTOME_METALLOPROTEASE_DUBS	REACTOME_METALLOPROTEASE_DUBS	13	0.5468601011497365	2.2380532202258894	5.167378057726854e-4	0.013693551852976164	0.01305442877741521	633	tags=92%, list=32%, signal=63%	H2AC20/H2AC21/PSMD14/H2AC4/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC16/H2AC17
