ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	31	0.6536417618133094	2.588342592539743	2.6260788396873643e-7	4.226492847999957e-5	3.65388214996194e-5	1647	tags=58%, list=14%, signal=50%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/APP/PSMB5/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	31	0.6507781245103456	2.5770029339777127	3.214063002281336e-7	4.226492847999957e-5	3.65388214996194e-5	1647	tags=58%, list=14%, signal=50%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/PSMB5/PRNP/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5
KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	22	0.7058005117044508	2.5677196107038363	1.925125179368744e-6	8.438465369566328e-5	7.295211206028925e-5	2497	tags=77%, list=21%, signal=61%	CACNA1E/CACNA2D1/CACNG5/CACNA1C/CACNA2D4/CACNB2/CACNA1G/CACNA1A/CACNG4/CACNG2/CACNA1F/CACNB4/CACNG7/CACNA1S/CACNA2D2/CACNA1D/CACNB1
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	34	0.6137665783809427	2.508670547739191	1.1172909228599586e-6	8.438465369566328e-5	7.295211206028925e-5	1647	tags=56%, list=14%, signal=48%	PSMB1/PSMA2/PSMC2/VCP/PSMB7/PSMA6/PSMC1/PSMB5/UBB/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	31	0.6283793923886207	2.4883066545222587	1.6795123430659552e-6	8.438465369566328e-5	7.295211206028925e-5	1647	tags=55%, list=14%, signal=47%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/PSMB5/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	31	0.6266086425151831	2.481294698454094	1.9177372982923465e-6	8.438465369566328e-5	7.295211206028925e-5	1647	tags=55%, list=14%, signal=47%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/PSMB5/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	33	0.5986960524526375	2.4105162164643033	5.259995693064324e-6	1.771181495189007e-4	1.531219543569444e-4	2086	tags=61%, list=18%, signal=50%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/PSMB5/UBB/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5/PSMD1/UBC
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	34	0.5887614801402056	2.4064662966290427	5.387624319966562e-6	1.771181495189007e-4	1.531219543569444e-4	2086	tags=59%, list=18%, signal=48%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/PSMB5/UBB/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5/PSMD1/UBC
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	34	0.5827346345352256	2.381832550515222	8.334641800224362e-6	2.4355675482877858e-4	2.105593717951418e-4	2086	tags=59%, list=18%, signal=48%	PSMB1/PSMA2/PSMC2/PSMB7/PSMA6/PSMC1/PSMB5/UBB/PSMB6/SEM1/PSMC6/PSMA3/PSMD4/PSMB3/PSMB4/PSMD14/PSMD6/PSMA5/PSMD1/UBC
KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY	15	0.7319419351106813	2.3320464779417747	4.089012174255893e-5	0.0010754102018292998	9.297122417255506e-4	796	tags=47%, list=7%, signal=44%	ARHGEF2/RHOA/TUBB3/TUBA1B/TUBB2A/TUBB4B/TUBB2B
KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	15	0.7092782432627948	2.2598374949395517	1.0207553270048468e-4	0.00244053319092977	0.0021098866089286784	1813	tags=80%, list=16%, signal=68%	H3C11/H3-3B/H3C8/CCND2/H3C4/H3C15/H3C1/H3C7/H3C14/H3C12/H3C13/H3C10
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT	17	0.6667480311462338	2.230918586948695	2.4324679183870547e-4	0.005331158854464961	0.004608886582207052	1065	tags=53%, list=9%, signal=48%	TUBB3/APP/TUBA1B/TUBB2A/CDK5R1/TUBB4B/TUBB2B/MAPT/CDK5
KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_LPAR_GNB_G_RHO_SIGNALING_PATHWAY	21	0.5369988122139419	1.910066894453138	0.0022920215749843453	0.04636935955545252	0.04008717896328896	1389	tags=48%, list=12%, signal=42%	GNG5/RHOA/GNB2/GNGT2/GNB5/GNB3/GNG4/GNGT1/GNG3/GNG2
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT	14	0.6410702050080535	2.0035072220552705	0.0024957435009259846	0.04688432433882385	0.04053237565413629	1065	tags=50%, list=9%, signal=46%	TUBB3/TUBA1B/TUBB2A/TUBB4B/TUBB2B/MAPT/CDK5
