ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	74	0.628063719454893	3.1680528759153677	1e-10	8.255563261745814e-9	6.630974507426358e-9	2501	tags=73%, list=21%, signal=58%	HDAC1/H2BU1/H2AZ1/H4C4/H4C5/H3C11/KMT2A/H3-3B/H4C3/H2AC8/SIN3B/H2BC14/H2AC7/H3C8/H4C11/H4C12/PRMT1/H2BC12/TNRC6B/H2BC13/H2BC10/H2BC9/H3C4/THBS1/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/AGO1/H3C7/H3C14/H3C12/H4C2/H3C13/H2BC5/H3C10/H4C1/ZFPM1/H2BC7/H2AC4/H2BC17/SETD1B/H2BC11/H4C15/H4C13/H4C8/H2BC6/KMT2C
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	55	0.6655906141872728	3.0917739352288374	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=80%, list=21%, signal=64%	H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/H3C7/H3C14/H3C12/H4C2/H3C13/H2BC5/H3C10/H4C1/H2BC7/H2AC4/H2BC17/H2BC11/H4C15/H4C13/H4C8/H2BC6
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	63	0.6497600516359028	3.090926058880139	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=79%, list=21%, signal=63%	HDAC1/H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/CBX3/H4C6/H3C7/H3C14/H3C12/TTF1/H4C2/H3C13/H2BC5/GATAD2B/H3C10/H4C1/H2BC7/H2AC4/MTA1/H2BC17/H2BC11/H4C15/H4C13/MBD3/H4C8/H2BC6
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	55	0.660162015849991	3.066557235223942	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=80%, list=21%, signal=64%	H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/H3C7/H3C14/H3C12/H4C2/H3C13/H2BC5/H3C10/H4C1/H2BC7/H2AC4/H2BC17/H2BC11/H4C15/H4C13/H4C8/H2BC6
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	56	0.6540791678118145	3.0444174332055094	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=80%, list=21%, signal=64%	H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/H3C7/H3C14/H3C12/H4C2/H3C13/H2BC5/H3C10/H4C1/H2BC7/H2AC4/KPNA1/H2BC17/H2BC11/H4C15/H4C13/H4C8/H2BC6
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	57	0.6466965099128557	3.0263162674035557	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=79%, list=21%, signal=63%	H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/H3C7/H3C14/H3C12/H4C2/H3C13/H2BC5/H3C10/H4C1/H2BC7/H2AC4/H2BC17/H2BC11/H4C15/H4C13/PHF8/H4C8/H2BC6
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	83	0.5869798169267869	3.0194485708390046	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=65%, list=21%, signal=52%	H2BU1/H2AZ1/MAML3/H4C4/H4C5/H3C11/CREBBP/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/TNRC6B/H2BC13/H2BC10/MFNG/H2BC9/H3C4/SNW1/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/AGO1/H3C7/H3C14/H3C12/TFDP2/H4C2/H3C13/H2BC5/AGO2/H3C10/H4C1/H2BC7/H2AC4/H2BC17/MAML2/H2BC11/H4C15/H4C13/CCND1/H4C8/H2BC6
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	52	0.6461464150859445	2.993093442702282	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=85%, list=21%, signal=67%	H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/H4C3/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/H4C6/H3C7/H3C14/H3C12/H4C2/H3C13/H2BC5/H3C10/H4C1/H2BC7/H2AC4/H2BC17/H2BC11/H4C15/H4C13/H4C8/H2BC6
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	78	0.5733701629220704	2.9796720646275516	1e-10	8.255563261745814e-9	6.630974507426358e-9	2467	tags=74%, list=21%, signal=59%	HDAC1/H2BC18/H2BU1/H4C4/H4C5/H2AC11/H3C11/RCOR1/H4C3/H2AC13/H2AC8/H2BC14/H2AC7/H3C8/H4C11/H4C12/H2BC12/H2BC13/H2BC10/H2AC17/H2BC9/H3C4/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AC12/PHF21A/H2BC8/H2AC16/H2AC20/H3C1/H2AC21/H4C6/H3C7/SAP18/H3C14/H3C12/H4C2/H3C13/H2BC5/GATAD2B/H2AW/H3C10/H4C1/H2BC7/H2AC4/MTA1/H2BC17/H2BC11/H4C15/H4C13/MBD3/H4C8/H2BC6/TBL1XR1/NCOR2
REACTOME_AMYLOID_FIBER_FORMATION	REACTOME_AMYLOID_FIBER_FORMATION	82	0.5698737303273257	2.936927053884547	1e-10	8.255563261745814e-9	6.630974507426358e-9	2420	tags=71%, list=21%, signal=56%	H2BU1/H2AZ1/H4C4/H4C5/H3C11/H3-3B/APP/PRL/H4C3/H2AC8/H2BC14/UBB/H2AC7/H3C8/H4C11/H4C12/H2BC12/SNCAIP/H2BC13/H2BC10/GSN/H2BC9/H3C4/B2M/H2AC14/H2BC4/H4C9/H3C15/H2BC3/H2AX/H2BC8/H2AC20/H3C1/TTR/H4C6/H3C7/TSPAN14/APOE/H3C14/H3C12/H4C2/CST3/H3C13/H2BC5/UBE2L6/SORL1/H3C10/H4C1/H2BC7/H2AC4/H2BC17/UBC/SNCA/H2BC11/H4C15/H4C13/H4C8/H2BC6
