"","comparison","gene","prob","log2FC","direction"
"1","cluster3 vs_Normal_Brain","MT-CO1",1,-2.94818556339329,"down"
"2","cluster3 vs_Normal_Brain","EEF1A1",1,2.47499062661269,"up"
"3","cluster3 vs_Normal_Brain","MT-ND2",1,-3.9285414653341,"down"
"4","cluster3 vs_Normal_Brain","MT-ND1",1,-4.06595398851031,"down"
"5","cluster3 vs_Normal_Brain","MT-CO2",1,-3.77919873553426,"down"
"6","cluster3 vs_Normal_Brain","ACTB",1,0.270685385987701,"up"
"7","cluster3 vs_Normal_Brain","ACTG1",1,1.70123372498732,"up"
"8","cluster3 vs_Normal_Brain","VIM",1,0.637142008008672,"up"
"9","cluster3 vs_Normal_Brain","COL1A1",1,4.2847694269428,"up"
"10","cluster3 vs_Normal_Brain","TPT1",1,0.293035746179751,"up"
"11","cluster3 vs_Normal_Brain","IGF2",1,0.860372325254873,"up"
"12","cluster3 vs_Normal_Brain","RPL13A",1,0.837493569377288,"up"
"13","cluster3 vs_Normal_Brain","RPL3",1,0.755578326352443,"up"
"14","cluster3 vs_Normal_Brain","RPLP0",1,1.89891489802675,"up"
"15","cluster3 vs_Normal_Brain","COL1A2",1,3.88275564280496,"up"
"16","cluster3 vs_Normal_Brain","RPS3A",1,2.35731760872323,"up"
"17","cluster3 vs_Normal_Brain","RPL4",1,0.641463985541377,"up"
"18","cluster3 vs_Normal_Brain","HNRNPA1",1,2.00638929478864,"up"
"19","cluster3 vs_Normal_Brain","RPS4X",1,0.947708962554794,"up"
"20","cluster3 vs_Normal_Brain","MAP1B",1,1.09672496858728,"up"
"21","cluster3 vs_Normal_Brain","HSP90AB1",1,0.439244694557786,"up"
"22","cluster3 vs_Normal_Brain","RPS2",1,0.875785453588426,"up"
"23","cluster3 vs_Normal_Brain","RPS18",1,0.990969356447102,"up"
"24","cluster3 vs_Normal_Brain","AHNAK",1,-1.26835193100574,"down"
"25","cluster3 vs_Normal_Brain","RPL15",1,0.464723423628446,"up"
"26","cluster3 vs_Normal_Brain","RACK1",1,1.5828075569062,"up"
"27","cluster3 vs_Normal_Brain","RPL13",1,-0.527327018958064,"down"
"28","cluster3 vs_Normal_Brain","RPL7",1,1.19764655597773,"up"
"29","cluster3 vs_Normal_Brain","SPTBN1",1,-0.757104699529024,"down"
"30","cluster3 vs_Normal_Brain","RPS8",1,0.990303758943866,"up"
"31","cluster3 vs_Normal_Brain","HSPA8",1,0.54730854854898,"up"
"32","cluster3 vs_Normal_Brain","APP",1,-1.8985009048522,"down"
"33","cluster3 vs_Normal_Brain","RPL6",1,1.57982927603411,"up"
"34","cluster3 vs_Normal_Brain","RPSA",1,0.829550335072814,"up"
"35","cluster3 vs_Normal_Brain","RPL19",1,0.892952573007571,"up"
"36","cluster3 vs_Normal_Brain","RPS24",1,0.777353964623627,"up"
"37","cluster3 vs_Normal_Brain","RPL18A",1,1.66199230388237,"up"
"38","cluster3 vs_Normal_Brain","PKM",1,1.40538281124338,"up"
"39","cluster3 vs_Normal_Brain","RPL37A",1,0.778684770364923,"up"
"40","cluster3 vs_Normal_Brain","HBA1",1,2.00307778456689,"up"
"41","cluster3 vs_Normal_Brain","RPS23",1,1.49792713031029,"up"
"42","cluster3 vs_Normal_Brain","RPS27",1,0.922284183542055,"up"
"43","cluster3 vs_Normal_Brain","ENO1",1,-0.512983113970581,"down"
"44","cluster3 vs_Normal_Brain","RPL21",1,0.66252549634659,"up"
"45","cluster3 vs_Normal_Brain","RPL27A",1,0.774185516399268,"up"
"46","cluster3 vs_Normal_Brain","RPL32",1,0.615320647023968,"up"
"47","cluster3 vs_Normal_Brain","DYNC1H1",1,0.50599913328686,"up"
"48","cluster3 vs_Normal_Brain","RPL41",1,1.70871984118281,"up"
"49","cluster3 vs_Normal_Brain","IGFBP5",1,1.50285906419212,"up"
"50","cluster3 vs_Normal_Brain","RPL37",1,0.391338761162108,"up"
"51","cluster3 vs_Normal_Brain","RPS14",1,1.05998558205275,"up"
"52","cluster3 vs_Normal_Brain","RPL26",1,0.632315183779008,"up"
"53","cluster3 vs_Normal_Brain","RPL8",1,0.363757236233184,"up"
"54","cluster3 vs_Normal_Brain","HNRNPA2B1",1,0.788283344903033,"up"
"55","cluster3 vs_Normal_Brain","PPIA",1,0.874304131992309,"up"
"56","cluster3 vs_Normal_Brain","MACF1",1,0.350361676121667,"up"
"57","cluster3 vs_Normal_Brain","RPS27A",1,0.428418434514174,"up"
"58","cluster3 vs_Normal_Brain","DST",1,1.02326807482954,"up"
"59","cluster3 vs_Normal_Brain","RPS12",1,0.284590590027369,"up"
"60","cluster3 vs_Normal_Brain","RPS7",1,1.25406303426938,"up"
"61","cluster3 vs_Normal_Brain","HLA-B",1,-1.06645292615815,"down"
"62","cluster3 vs_Normal_Brain","CANX",1,0.648064931549861,"up"
"63","cluster3 vs_Normal_Brain","RPS17",1,0.882613943693306,"up"
"64","cluster3 vs_Normal_Brain","RPL29",1,1.10720789562758,"up"
"65","cluster3 vs_Normal_Brain","RPS10",1,0.927236481477755,"up"
"66","cluster3 vs_Normal_Brain","RPS15A",1,1.64263628417017,"up"
"67","cluster3 vs_Normal_Brain","ALDOA",1,-0.816575325702131,"down"
"68","cluster3 vs_Normal_Brain","HSP90B1",1,0.692461060586702,"up"
"69","cluster3 vs_Normal_Brain","RPL12",1,1.29900453261416,"up"
"70","cluster3 vs_Normal_Brain","RPS19",1,0.756640011479281,"up"
"71","cluster3 vs_Normal_Brain","HLA-A",1,0.664859172024573,"up"
"72","cluster3 vs_Normal_Brain","APOE",1,-3.58993464421418,"down"
"73","cluster3 vs_Normal_Brain","HSPA5",1,0.630825403186989,"up"
"74","cluster3 vs_Normal_Brain","DPYSL2",1,-1.79247274689062,"down"
"75","cluster3 vs_Normal_Brain","CFL1",1,-0.611125062963125,"down"
"76","cluster3 vs_Normal_Brain","DDX17",1,0.238113427676357,"up"
"77","cluster3 vs_Normal_Brain","RPS9",1,0.734844884943768,"up"
