"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",3717634.40357228,-3.51549032886522,0.282397655142938,-12.4487235104195,1.42099650646151e-35,6.22818590976391e-35
"EEF1A1",138320.141549652,1.86679341343653,0.132528794834417,14.0859457431038,4.63413036182175e-45,2.71127331413618e-44
"MT-ND4",2885784.02317821,-4.67539340683463,0.240777175878407,-19.4179260961002,5.44445733660324e-84,9.07067137400125e-83
"MT-CO3",1767885.9349121,-3.74226006639813,0.236110537138775,-15.8496105754001,1.41454702562455e-56,1.15817298909731e-55
"GFAP",467989.754518311,-3.637172171981,0.339822164423888,-10.7031634565309,9.83616959226551e-27,3.31793684248063e-26
"MT-CYB",1509652.96699197,-4.20764558790545,0.247369955454806,-17.0095255916161,6.98006888331851e-65,7.17316120963412e-64
"MT-ND2",1569967.10322817,-4.48053405502176,0.239063557633627,-18.7420203203381,2.2492303558257e-78,3.19936992001527e-77
"MT-ND1",1435453.81617097,-4.41979075693591,0.244272014968945,-18.0937253802807,3.5711033416998e-73,4.51461401534934e-72
"MT-CO2",1753986.31876204,-4.60543980504682,0.235639892590721,-19.5443978284522,4.60392235669607e-85,7.9114408282207e-84
"MT-ND5",756148.65221305,-3.44768700946197,0.275361283546745,-12.5205946349996,5.76019789199699e-36,2.55294639390863e-35
"ACTB",101416.70353127,0.170991582596436,0.113920826762703,1.500968588936,0.133363686131529,0.150012910642217
"FN1",8326.88173145719,2.05972686797172,0.233994392103086,8.80246252681268,1.33846258554245e-18,3.45418435688888e-18
"ACTG1",63426.1352480987,1.10088154013996,0.123964060539357,8.88065085436957,6.64702820674478e-19,1.73411901784599e-18
"CLU",176543.263875006,-1.8562495486252,0.198713441814355,-9.34133862146766,9.51237548194379e-21,2.64005217981704e-20
"GAPDH",66535.353834456,-0.294421787964574,0.102600152009818,-2.86960381829063,0.00410986388927617,0.00521870880365057
"VIM",12597.1079422193,2.45306683670216,0.290021084364812,8.45823620746306,2.71451853237935e-17,6.68955737079917e-17
"COL1A1",2322.43728759304,5.1616087353948,0.315997036176454,16.3343580618666,5.62208927655453e-60,5.01444932444207e-59
"TPT1",40632.7727750354,0.405272825498145,0.165496455407319,2.4488308495834,0.0143320736597649,0.0175354800192327
"SPARC",48880.2160803095,-0.273269560721003,0.285122662609037,-0.958428061173492,0.337846950866991,0.364042537219769
"EEF2",67104.3473394809,1.21071981264811,0.0902463822012402,13.4157157674014,4.89187105092087e-41,2.51359837929815e-40
"IGF2",1994.68981897279,1.68241407948193,0.293815655538686,5.72608725153658,1.027733781886e-08,1.78856217135679e-08
"RPL13A",39792.2992782816,1.43846027493924,0.121405719123504,11.8483732506532,2.19408694210264e-32,8.76032139422476e-32
"RPL3",52378.0003032099,1.05669051261487,0.0983388569860186,10.7454016143904,6.22902338012958e-27,2.11422115258745e-26
"RPLP0",19239.2412774495,2.49291731110441,0.122200104417268,20.40028789658,1.66234036804611e-92,3.55344601206727e-91
"COL1A2",2360.09190243407,4.65512366239467,0.245736249566214,18.9435773949189,4.98892981274133e-80,7.45676110943461e-79
"FTH1",27947.8464538608,-0.350763192438452,0.204161918555681,-1.71806375508167,0.0857849869874902,0.0980802655009363
"RPS3A",15359.3240936548,2.93983362736811,0.12175567194262,24.1453525775257,8.35500029745805e-129,4.11618233538716e-127
"FTL",87715.8814723215,-1.53393234260825,0.224887361118055,-6.82089173434256,9.04771114139896e-12,1.81412534833395e-11
"CD74",12630.9818182642,-1.03020361426358,0.323056104700185,-3.18893096052052,0.00142799977967942,0.001872302623751
"RPL4",45249.8438098987,0.751276727838138,0.111188417085146,6.75678948880823,1.41082939733236e-11,2.8072301355483e-11
"RPL10",25679.9578667951,1.47797226400219,0.124945014888391,11.8289814549417,2.76476218775722e-32,1.09967793323857e-31
"HNRNPA1",27682.9076520681,1.69489112792814,0.105004289920638,16.1411607964698,1.31053238735007e-58,1.12601805946044e-57
"GNAS",81173.3727239286,-1.10250310431254,0.153592285311247,-7.17811511221652,7.0679041425064e-13,1.47701568636139e-12
"TUBA1A",48475.6555589238,0.616396343409644,0.181045209021081,3.40465426697853,0.000662478696245887,0.000889218072287948
"EEF1G",27071.0181133559,2.16773495127582,0.105845947208456,20.480094027659,3.24032325831311e-93,7.01805107210872e-92
"LRP1",23371.3468957653,-1.34009902744374,0.140040758426501,-9.56934996997375,1.07579916696179e-21,3.0734441606656e-21
"RPS4X",24625.1149424718,1.82163522028459,0.124129784578181,14.6752467707479,9.28770526888469e-49,6.13426747879904e-48
"B2M",26032.3627696149,-1.19548897182058,0.219186197316566,-5.45421649016504,4.91892453614266e-08,8.28044211033605e-08
"TMSB4X",55849.7123386545,0.791550566249515,0.213062915354836,3.71510248478136,0.00020312135293399,0.000281292075078932
"MAP1B",45194.3208990337,-0.018896647873479,0.154006149640478,-0.122700605901729,0.902344184052628,0.909954220217879
"RPS6",35382.3283076417,1.28371363933023,0.155310996664237,8.26543945310877,1.39181069994574e-16,3.32984473211279e-16
"HBA2",3016.2207248002,1.56220685446772,0.360184114358361,4.3372452925934,1.44279579545851e-05,2.12767894862131e-05
"HSP90AB1",54270.0040359699,-0.322254871207584,0.117501607308877,-2.74255713252052,0.0060962843733803,0.00766140226867007
"HSP90AA1",82314.5271088842,-0.742824585565958,0.161662898906478,-4.59489833839786,4.32960299586989e-06,6.57836039571019e-06
"TUBA1B",12024.843801192,2.85161981261881,0.19977037756886,14.2744877760261,3.15598141291672e-46,1.93110397861786e-45
"RPS11",28086.7637802147,1.78131156529748,0.131258101290226,13.5710599786814,5.94559519419038e-42,3.13533065143032e-41
"RPS2",15181.9416232523,1.78193293648916,0.15193967682879,11.7278973713831,9.17085084706643e-32,3.60274458841463e-31
"RPS18",24331.3621530799,1.07853669876934,0.149988520197629,7.19079498449769,6.44151449223281e-13,1.34832503385012e-12
"COL3A1",1922.4697151704,5.5521732329877,0.285334736445497,19.4584553642253,2.47121097632429e-84,4.16549644599508e-83
"AHNAK",15765.8010902459,0.88915658403852,0.175608489430661,5.0632892915442,4.12083798858923e-07,6.63065591127219e-07
"PABPC1",10911.8959557072,1.86058373598418,0.118722302074691,15.6717289293603,2.36069386452099e-55,1.87014526368782e-54
"HBB",11948.2647784123,-2.3014116689966,0.35926323242233,-6.40592039847593,1.49464934988503e-10,2.83494380160778e-10
"RPL7A",23106.5696838038,1.75392871973415,0.102168232371747,17.1670653295866,4.6851650950483e-66,4.95677512682575e-65
"RPL15",33051.4872816269,0.899144126212426,0.0832721896393895,10.7976520145102,3.53118109019066e-27,1.20638177780651e-26
"RACK1",16678.956602045,2.09548193537847,0.0941455460094765,22.2578977359963,9.45796965523765e-110,2.99085492210669e-108
"PTMA",23610.7127648695,0.828166312309052,0.148773452811426,5.56662695298719,2.59717580980562e-08,4.43843696899787e-08
"TUBB",15860.1298863323,1.84666042467604,0.112824131942962,16.3676014419469,3.25803201535161e-60,2.92474531725895e-59
"RPL7",19711.1304375635,1.7136610268268,0.111766250743354,15.3325446226324,4.63468934655594e-53,3.44124185052495e-52
"RPS3",19822.932100493,2.11386797914603,0.129200411122029,16.3611552067702,3.62191538669849e-60,3.24558678562935e-59
"RPS8",22378.4525561985,1.47676195055555,0.123870063553848,11.9218631862054,9.10492736037567e-33,3.68271533367697e-32
"MT-ND3",323198.192795593,-4.52689685913858,0.239114906283834,-18.9318889796233,6.2288225502571e-80,9.24976119720586e-79
"RPLP1",22831.8785229014,0.608534232600068,0.161393777450709,3.77049377127268,0.000162924869163848,0.000226995335979101
"HSPA8",44201.8797191088,-0.63058991103954,0.136727267524056,-4.612027450403,3.98760317857254e-06,6.0740043639642e-06
"APP",56946.4148651213,1.09433077442488,0.138335018061087,7.91072853253711,2.55886970854511e-15,5.84193822283001e-15
"RPL6",18797.7441127419,1.88500626166468,0.105030084651846,17.9472983185066,5.03823814327785e-72,6.21202316290939e-71
"RPSA",22477.5468614742,1.24917113042155,0.14420026427312,8.662752018648,4.60509446285744e-18,1.16461509890153e-17
"RPL19",24596.869544658,0.915264869018349,0.138356477487984,6.61526576591136,3.70884815987799e-11,7.23799184414136e-11
"MBP",831554.165637354,-7.54531440227751,0.591758550026987,-12.7506639353726,3.0910144567065e-37,1.41643732329477e-36
"RPS24",21644.0836903098,1.45791157949759,0.129344176108439,11.2715672507381,1.81313424663278e-29,6.64314331857569e-29
"RPL18A",9946.23793777714,2.29816665884965,0.121631315090931,18.8945310435191,1.26506696084211e-79,1.8522581177942e-78
"EIF4G2",26171.4003237352,0.858961692799913,0.0733800097250765,11.7056633818676,1.19223140029829e-31,4.66449360737015e-31
"PKM",45173.5070388952,-0.373068230685822,0.108461913060996,-3.43962428982808,0.00058252224004229,0.000784188201412625
"RPL37A",26074.3977282844,1.02113021931924,0.141437147870576,7.21967484987494,5.2112024461915e-13,1.09359036343386e-12
"SRRM2",31983.0464122862,0.116200334477488,0.158237294841305,0.734342271169538,0.462740161071879,0.490560981616559
"PTPRZ1",13132.0010384939,-2.78916495149709,0.214827325591304,-12.9832875953746,1.52204364852982e-38,7.25863690962769e-38
