"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",43527.4519623892,-2.92976656884926,0.0529644202184574,-55.3157488888792,0,0
"EEF1A1",2387.04967726092,1.46178365979937,0.019442264873634,75.1858731120217,0,0
"MT-ND4",38052.5790962867,-3.84899643900734,0.0414071992736554,-92.9547640633641,0,0
"MT-CO3",23561.0277605925,-3.23301941498601,0.0425845755358366,-75.9199633741868,0,0
"GFAP",4715.36526860558,-2.21525446067426,0.0654115742549403,-33.8663988125458,2.08191759174472e-251,6.71963297924903e-251
"MT-CYB",19568.9075243325,-3.71640346256484,0.0431412822076746,-86.144946844063,0,0
"MT-ND2",20910.1281009096,-3.99111964547324,0.0420927715985695,-94.8172214349714,0,0
"MT-ND1",18838.3354914084,-4.09995332057271,0.0443171434524916,-92.513934815494,0,0
"MT-CO2",23425.4078227638,-4.11043621904911,0.0398121801514591,-103.245695247324,0,0
"MT-ND5",9009.35222355472,-2.66380007219853,0.0455527811390031,-58.4772214910439,0,0
"MT-ATP6",19279.820700779,-4.05982121083965,0.040657007947029,-99.8553857216718,0,0
"ACTB",1720.90074867726,0.225946328868044,0.0220784734865947,10.2337840070887,1.39942082663046e-24,1.96356021306128e-24
"FN1",122.319307016844,1.20131542173643,0.0478267049591802,25.1180887908073,3.1555957562993e-139,7.43025208792832e-139
"ACTG1",1091.57910360779,1.32451763682769,0.0203484902275529,65.091690932147,0,0
"CLU",2670.68377241135,-2.77321981944851,0.0378617517074145,-73.2459459583173,0,0
"VIM",158.584199319105,0.168018673732736,0.0501038465841013,3.35340867393704,0.000798227511375617,0.000879779219936707
"COL1A1",30.8565806065205,1.631927970827,0.0729282806193276,22.3771622883222,6.56944826870816e-111,1.39982684991929e-110
"TPT1",641.099667007681,-0.138711207733486,0.0187797002903472,-7.38623117456159,1.51049082934431e-13,1.92600560344379e-13
"SPARC",586.285537074583,-0.299052800252462,0.0508115259121991,-5.88553079018366,3.96778506800079e-09,4.80260270308485e-09
"EEF2",1176.17970814535,0.577978886507705,0.0210688076910149,27.432918605745,1.1108986385978e-165,2.85737739742222e-165
