sample_id	intnmf_cluster
7316-1017	5
7316-1038	2
7316-1083	5
7316-109	5
7316-1104	1
7316-1118	5
7316-14	5
7316-1460	5
7316-153	3
7316-1650	1
7316-1651	4
7316-1655	5
7316-1666	2
7316-1669	1
7316-1670	5
7316-1676	2
7316-1680	1
7316-1700	5
7316-1714	3
7316-1715	5
7316-1772	2
7316-178	1
7316-1801	2
7316-1802	2
7316-182	1
7316-1884	1
7316-1945	4
7316-1988	5
7316-2009	5
7316-2107	3
7316-2118	2
7316-2133	4
7316-2155	5
7316-2169	2
7316-2178	2
7316-22	5
7316-2221	5
7316-2227	5
7316-2230	3
7316-2240	2
7316-2250	2
7316-2252	4
7316-2287	3
7316-2309	3
7316-2322	3
7316-2562	5
7316-2603	4
7316-2626	2
7316-2659	3
7316-2699	1
7316-2700	4
7316-2708	2
7316-2711	1
7316-278	1
7316-2780	1
7316-2811	5
7316-2865	1
7316-2893	2
7316-2934	4
7316-2971	5
7316-2986	2
7316-3008	3
7316-3010	1
7316-302	3
7316-3023	1
7316-3025	4
7316-3032	3
7316-304	3
7316-305	2
7316-306	2
7316-309	2
7316-3114	1
7316-312	3
7316-313	2
7316-3138	2
7316-314	5
7316-315	5
7316-3170	4
7316-3192	2
7316-3195	1
7316-3202	1
7316-3210	5
7316-333	1
7316-347	2
7316-3488	3
7316-3510	3
7316-3511	5
7316-3576	3
7316-358	2
7316-3626	5
7316-3635	5
7316-3659	3
7316-3669	3
7316-367	5
7316-3726	5
7316-3756	3
7316-3774	5
7316-38	5
7316-3809	1
7316-3846	5
7316-3857	3
7316-3931	5
7316-3949	5
7316-4028	5
7316-407	5
7316-411	5
7316-4174	3
7316-4187	3
7316-4188	3
7316-4221	4
7316-4265	4
7316-4270	1
7316-4283	1
7316-4284	5
7316-4296	3
7316-4345	3
7316-435	5
7316-438	3
7316-4458	3
7316-4493	3
7316-4509	3
7316-4523	1
7316-4529	1
7316-4535	3
7316-4681	1
7316-4778	4
7316-4918	5
7316-4940	5
7316-4956	3
7316-5	4
7316-5187	5
7316-521	4
7316-5463	5
7316-5526	3
7316-553	5
7316-5539	1
7316-556	5
7316-5749	5
7316-5879	3
7316-5883	3
7316-6	1
7316-6124	4
7316-6138	3
7316-6382	5
7316-6528	1
7316-6530	5
7316-6664	3
7316-6685	1
7316-670	2
7316-676	5
7316-6781	3
7316-6792	5
7316-6794	3
7316-680	1
7316-6806	3
7316-6808	5
7316-683	4
7316-6986	3
7316-6991	1
7316-7110	4
7316-729	1
7316-735	2
7316-737	2
7316-739	5
7316-746	2
7316-747	2
7316-7495	5
7316-7598	1
7316-7742	5
7316-7753	5
7316-7930	3
7316-7965	3
7316-8117	3
7316-839	2
7316-8419	1
7316-842	5
7316-843	3
7316-8430	1
7316-8451	5
7316-8817	1
7316-8850	5
7316-8860	1
7316-8916	5
7316-897	5
7316-9028	1
7316-9032	3
7316-906	4
7316-908	5
7316-922	1
7316-9249	4
7316-931	1
7316-937	5
7316-9436	3
7316-9450	1
7316-96	4
7316-9804	1
