sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_CNV	Kids_First_Biospecimen_ID_SNV	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-7965	BS_0BTXD5M6	BS_DKF4CQB4	BS_DKF4CQB4	BS_S7BCFSJS	BS_0BTXD5M6
7316-4345	BS_0EB67GB4	BS_KMFX23ZZ	BS_KMFX23ZZ	BS_MJVTJK0F	BS_0EB67GB4
7316-4188	BS_0HKNEFQC	BS_4HRYS7JY	BS_4HRYS7JY	BS_DX75YHQE	BS_0HKNEFQC
7316-4523	BS_19Z0ERYF	BS_7TMTHQ5X	BS_7TMTHQ5X	BS_7J3TGDGX	BS_19Z0ERYF
7316-2250	BS_1AYRM596	BS_20X874J5	BS_20X874J5	BS_GX9FSY4V	BS_1AYRM596
7316-2659	BS_1BWP5MCT	BS_05S9WJW6	BS_05S9WJW6	BS_8VP3HW1B	BS_1BWP5MCT
7316-5539	BS_1DMAMKFZ	BS_R06ABMXP	BS_R06ABMXP	BS_FM94M3PS	BS_1DMAMKFZ
7316-4778	BS_1Z2CNQEC	BS_YHNFJWAK	BS_YHNFJWAK	BS_H197SKBR	BS_1Z2CNQEC
7316-4174	BS_1ZWSD3YQ	BS_XQ33BNV0	BS_XQ33BNV0	BS_B5AQJ9XV	BS_1ZWSD3YQ
7316-7742	BS_26H7DZD4	BS_PS00F8DA	BS_PS00F8DA	BS_K4M7J3QY	BS_26H7DZD4
7316-9249	BS_2G4EH95X	BS_VBADSQPW	BS_VBADSQPW	BS_P4RER0JF	BS_2G4EH95X
7316-4265	BS_2M4174KG	BS_AFPZ71DG	BS_AFPZ71DG	BS_SZGPXK0G	BS_2M4174KG
7316-3626	BS_2SFTWNVE	BS_9BF58P80	BS_9BF58P80	BS_8R7FB13G	BS_2SFTWNVE
7316-2934	BS_2Z1MKS84	BS_HSYF7G2D	BS_HSYF7G2D	BS_2S2R8GH5	BS_2Z1MKS84
7316-3114	BS_397XFJY9	BS_53BCKC4V	BS_53BCKC4V	BS_ZDJB4BK4	BS_397XFJY9
7316-6	BS_3F5PR9GS	BS_8YQGSMDK	BS_8YQGSMDK	BS_M1MPGKYJ	BS_3F5PR9GS
7316-367	BS_3MYEMXPQ	BS_39Q80NT3	BS_39Q80NT3	BS_WKNHM9QK	BS_3MYEMXPQ
7316-2221	BS_3NWQXPQV	BS_4YE9CKC6	BS_4YE9CKC6	BS_5349VSNB	BS_3NWQXPQV
7316-8860	BS_3RAM3K7B	BS_X2VRDBVG	BS_X2VRDBVG	BS_PRKJWXS8	BS_3RAM3K7B
7316-1676	BS_3V3KE3VT	BS_FVYBGMG1	BS_FVYBGMG1	BS_9QDA6XJM	BS_3V3KE3VT
7316-4493	BS_46MF83WA	BS_RC3GT3V9	BS_RC3GT3V9	BS_1YMQ0TXS	BS_46MF83WA
7316-22	BS_4CP4T22V	BS_H2K7XX4X	BS_H2K7XX4X	BS_NPKXNBTD	BS_4CP4T22V
7316-906	BS_4D9DD103	BS_RHEBGZF8	BS_RHEBGZF8	BS_NEZ4TS7F	BS_4D9DD103
